"session_date","session_month","session_week","session_count","week_txn_counts"
"2024-12-30","12","1","20","168290529"
"2024-12-30","12","1","47","168290529"
"2024-12-30","12","1","88","168290529"
"2024-12-30","12","1","140","168290529"
"2024-12-30","12","1","108","168290529"
"2024-12-30","12","1","10","168290529"
"2024-12-30","12","1","17","168290529"
"2024-12-30","12","1","412","168290529"
"2024-12-30","12","1","8","168290529"
"2024-12-30","12","1","65","168290529"
"2024-12-30","12","1","11","168290529"
"2024-12-30","12","1","94","168290529"
"2024-12-30","12","1","12","168290529"
"2024-12-30","12","1","29","168290529"
"2024-12-30","12","1","70","168290529"
"2024-12-30","12","1","7","168290529"
"2024-12-30","12","1","2","168290529"
"2024-12-30","12","1","78","168290529"
"2024-12-30","12","1","22","168290529"
"2024-12-30","12","1","68","168290529"
"2024-12-30","12","1","71","168290529"
"2024-12-30","12","1","21","168290529"
"2024-12-30","12","1","172","168290529"
"2024-12-30","12","1","103","168290529"
"2024-12-30","12","1","242","168290529"
"2024-12-30","12","1","50","168290529"
"2024-12-30","12","1","31","168290529"
"2024-12-30","12","1","67","168290529"
"2024-12-30","12","1","36","168290529"
"2024-12-30","12","1","55","168290529"
"2024-12-30","12","1","18","168290529"
"2024-12-30","12","1","125","168290529"
"2024-12-30","12","1","153","168290529"
"2024-12-30","12","1","30","168290529"
"2024-12-30","12","1","35","168290529"
"2024-12-30","12","1","3","168290529"
"2024-12-30","12","1","204","168290529"
"2024-12-30","12","1","325","168290529"
"2024-12-30","12","1","116","168290529"
"2024-12-30","12","1","4","168290529"
"2024-12-30","12","1","27","168290529"
"2024-12-30","12","1","34","168290529"
"2024-12-30","12","1","38","168290529"
"2024-12-30","12","1","43","168290529"
"2024-12-30","12","1","138","168290529"
"2024-12-30","12","1","39","168290529"
"2024-12-30","12","1","19","168290529"
"2024-12-30","12","1","63","168290529"
"2024-12-30","12","1","1","168290529"
"2024-12-30","12","1","77","168290529"
"2024-12-30","12","1","16","168290529"
"2024-12-30","12","1","32","168290529"
"2024-12-30","12","1","130","168290529"
"2024-12-30","12","1","52","168290529"
"2024-12-30","12","1","9","168290529"
"2024-12-30","12","1","59","168290529"
"2024-12-30","12","1","57","168290529"
"2024-12-30","12","1","97","168290529"
"2024-12-30","12","1","6","168290529"
"2024-12-30","12","1","48","168290529"
"2024-12-30","12","1","46","168290529"
"2024-12-30","12","1","270","168290529"
"2024-12-30","12","1","54","168290529"
"2024-12-30","12","1","49","168290529"
"2024-12-30","12","1","42","168290529"
"2024-12-30","12","1","124","168290529"
"2024-12-30","12","1","84","168290529"
"2024-12-30","12","1","104","168290529"
"2024-12-30","12","1","58","168290529"
"2024-12-30","12","1","56","168290529"
"2024-12-30","12","1","14","168290529"
"2024-12-30","12","1","53","168290529"
"2024-12-30","12","1","69","168290529"
"2024-12-30","12","1","33","168290529"
"2024-12-30","12","1","24","168290529"
"2024-12-30","12","1","81","168290529"
"2024-12-30","12","1","44","168290529"
"2024-12-30","12","1","45","168290529"
"2024-12-30","12","1","400","168290529"
"2024-12-30","12","1","161","168290529"
"2024-12-30","12","1","51","168290529"
"2024-12-30","12","1","25","168290529"
"2024-12-30","12","1","26","168290529"
"2024-12-30","12","1","23","168290529"
"2024-12-29","12","52","140","361167677"
"2024-12-29","12","52","12","361167677"
"2024-12-29","12","52","128","361167677"
"2024-12-29","12","52","7","361167677"
"2024-12-29","12","52","394","361167677"
"2024-12-29","12","52","16","361167677"
"2024-12-29","12","52","26","361167677"
"2024-12-29","12","52","4","361167677"
"2024-12-29","12","52","51","361167677"
"2024-12-29","12","52","91","361167677"
"2024-12-29","12","52","15","361167677"
"2024-12-29","12","52","99","361167677"
"2024-12-29","12","52","67","361167677"
"2024-12-29","12","52","307","361167677"
"2024-12-29","12","52","34","361167677"
